repository,total_releases,failed_releases,change_failure_rate_percent
mtransitapps/ca-calgary-transit-bus-android,1,0,0.0
kmzbrnoI/hJOPandroidDriver,8,3,37.5
xiprox/WaniKani-for-Android,11,0,0.0
dbdkmezz/true-sight-dota,8,0,0.0
VisualizeMobile/AKANAndroid,1,0,0.0
gkalab/scidonthego,3,0,0.0
Pushwoosh/pushwoosh-android-sdk,150,0,0.0
dailymotion/dailymotion-player-sdk-android,2,0,0.0
PietsmietApp/pietsmiet_android,16,8,50.0
donglua/PhotoPicker,13,1,7.69
SJ-StudyJams/Piece,3,0,0.0
mtransitapps/ca-montreal-amt-train-android,1,0,0.0
thermatk/meAtB,4,0,0.0
t-yoshi/peca-android,35,0,0.0
Sloy/SeviBus,18,1,5.56
mtransitapps/ca-york-region-yrt-viva-bus-android,1,0,0.0
daniel-stoneuk/material-about-library,32,3,9.38
RefugeRestrooms/refugerestrooms-android,10,0,0.0
JohnPersano/SuperToasts,5,1,20.0
Tyde/TuCanMobile,3,1,33.33
fython/PackageTracker,17,0,0.0
Nutomic/ensichat,16,2,12.5
sages-health/sagesmobile-mReceive,3,0,0.0
heinrichreimer/material-intro,10,9,90.0
mtransitapps/ca-montreal-stm-subway-android,1,0,0.0
mudar/MontrealJustInCase,6,0,0.0
mtransitapps/ca-whistler-transit-system-bus-android,2,0,0.0
florent37/MaterialViewPager,11,6,54.55
HugoGresse/Anecdote,18,3,16.67
mtransitapps/ca-nanaimo-rdn-transit-system-bus-android,1,0,0.0
SecUSo/privacy-friendly-pedometer,10,5,50.0
mtransitapps/ca-kingston-transit-bus-android,1,0,0.0
i-p-tel/sipdroid,1,0,0.0
herolynx/elepantry-android,4,0,0.0
farmerbb/Notepad,12,0,0.0
lvonasek/Open4speed,2,0,0.0
prajjwaldimri/GithubXamarin,3,2,66.67
javiersantos/MLManager,13,0,0.0
ziggy42/Blum,5,0,0.0
adleywd/WhatsNextSeries,7,0,0.0
kshoji/USB-MIDI-Driver,9,2,22.22
nitroshare/nitroshare-android,2,0,0.0
saschpe/PlanningPoker,5,0,0.0
SecUSo/privacy-friendly-passwordgenerator,6,0,0.0
TriangleLeft/Flashcards,3,0,0.0
miketrewartha/positional,15,0,0.0
mtransitapps/ca-richelieu-citvr-bus-android,1,0,0.0
nvllsvm/Audinaut,17,4,23.53
VersoBit/WeatherDoge,10,0,0.0
NateShoffner/Seachem-Doser,3,0,0.0
stephentuso/welcome-android,24,0,0.0
greenaddress/abcore,29,0,0.0
ISchwarz23/SortableTableView,24,1,4.17
anastr/SpeedView,24,3,12.5
Quexten/UlricianumPlanner,29,6,20.69
m45t3r/retrobreaker,6,0,0.0
NordicSemiconductor/Android-nRF-Toolbox,50,2,4.0
RobinJ1995/DistroHopper,7,0,0.0
mtransitapps/ca-longueuil-rtl-bus-android,1,0,0.0
Z3r0byte/Magis,27,17,62.96
j4velin/WiFi-Automatic,12,0,0.0
Leejjon/BluffPoker,1,0,0.0
mtransitapps/ca-thunder-bay-transit-bus-android,1,0,0.0
mtransitapps/ca-les-moulins-mrclm-bus-android,1,0,0.0
mtransitapps/ca-calgary-transit-train-android,1,0,0.0
ZafraniTechLLC/Companion-For-PUBG-Android,8,2,25.0
TheFakeMontyOnTheRun/knightsofalentejo,2,0,0.0
Samourai-Wallet/sentinel-android,1,0,0.0
OpenSeizureDetector/Android_Pebble_SD,2,0,0.0
mtransitapps/ca-brampton-transit-bus-android,1,0,0.0
jklmnn/ParkenDD,33,2,6.06
mtransitapps/ca-laval-stl-bus-android,1,0,0.0
lkorth/auto-fi,2,0,0.0
za419/Android-calculator,11,8,72.73
gentlecat/counter,14,1,7.14
macleod2486/JavNav,20,0,0.0
elman22/pocket-amc-reader,12,0,0.0
sbhs-forkbombers/sbhs-timetable-android,10,6,60.0
tranquvis/SimpleSmsRemote,5,0,0.0
3cky/bkemu-android,9,0,0.0
davidgraeff/Android-NetPowerctrl,18,0,0.0
Universav/UniversavPoke,1,1,100.0
Dimezis/BlurView,26,2,7.69
kiruto/debug-bottle,3,0,0.0
yassirh/digitalocean-swimmer,4,0,0.0
souch/SMP,13,6,46.15
WikiJourney/wikijourney_app,18,2,11.11
tjyu1040/GallyShuttle,6,0,0.0
mtransitapps/ca-sorel-varennes-citsv-bus-android,1,0,0.0
avast/android-styled-dialogs,8,0,0.0
junjunguo/PocketMaps,23,2,8.7
corcoran/Hangar,9,0,0.0
DevelopFreedom/logmein-android,5,0,0.0
thomasbrueggemann/timetracker,2,0,0.0
mtransitapps/ca-grande-prairie-transit-bus-android,1,0,0.0
Art2Cat/MoonlightNote,4,0,0.0
passy/Android-DirectoryChooser,1,0,0.0
krrishnarraj/clpeak,6,0,0.0
sylvek/itracing2,17,3,17.65
appteam-nith/Hillffair,2,0,0.0
In-Loco-Media/inlocomedia-android-sdk,2,0,0.0
jerrymannel/ISawABird,6,0,0.0
pizza/MaterialTabs,2,0,0.0
rignaneseleo/SlimSocial-for-Facebook,48,1,2.08
cattaka/AndroidSnippets,3,0,0.0
AIDEA775/UNCmorfi,10,0,0.0
JakeWharton/Telecine,10,0,0.0
hummatli/AndroidAppUpdater,6,0,0.0
iTwenty/Hashtagger,1,0,0.0
ybonjour/BillSplitter,2,0,0.0
ryanpconnors/art-thief,3,0,0.0
frc2052/FRC-Krawler,23,0,0.0
Mikuz/Boarder,2,0,0.0
Poeschl/TryAndRemove,2,0,0.0
BullshitPingu/Guide7,4,0,0.0
ronaldsmartin/APO-DZ-Android,6,1,16.67
mtransitapps/ca-vancouver-translink-ferry-android,1,0,0.0
jonasbleyl/recurrence,3,0,0.0
itcc-li/Lieventure-Android,2,0,0.0
mtransitapps/ca-montreal-amt-bus-android,1,0,0.0
shts/NogiFeed,12,0,0.0
mtransitapps/ca-roussillon-citrous-bus-android,1,0,0.0
aressler38/factor-trinomials,1,0,0.0
SubstanceMobile/GEM,2,1,50.0
chrsep/Kingfish,1,0,0.0
jrvansuita/PickImage,29,2,6.9
niqdev/ipcam-view,8,0,0.0
khertan/ForRunners,4,2,50.0
donkirkby/vograbulary,6,0,0.0
Skarafaz/mercury,9,0,0.0
hwki/SimpleBitcoinWidget,32,0,0.0
jpeddicord/speedofsound,3,0,0.0
awisus/Refugee-Aid,2,0,0.0
andereld/progark,2,0,0.0
kamontat/CheckIDNumberA,3,0,0.0
canyapan/DietDiaryApp,12,0,0.0
jmbowman/portabase,1,0,0.0
rootio/rootio_handset,3,0,0.0
mtransitapps/ca-le-richelain-citlr-bus-android,1,0,0.0
SmBe19/LD34,2,0,0.0
mars3142/toaster,2,0,0.0
hhroc/yellr-android,6,5,83.33
mtransitapps/ca-west-coast-express-train-android,2,0,0.0
rahulkumar66/Performance-Tweaker,1,0,0.0
milindur/MdkControlApp,3,2,66.67
krtkush/MarsExplorer,5,0,0.0
ChaosLeong/FxcnBeta,11,1,9.09
mtransitapps/ca-saskatoon-transit-bus-android,1,0,0.0
EarthstormSoftware/controllerformote-android,2,0,0.0
mtransitapps/ca-chambly-richelieu-carignan-citcrc-bus-android,1,0,0.0
mtransitapps/ca-sud-ouest-citso-bus-android,1,0,0.0
creativetrendsapps/SimplicityBrowser,3,0,0.0
DecentralizedAmateurPagingNetwork/DAPNETApp,23,9,39.13
santiago-hollmann/igcparser,6,0,0.0
MakinGiants/banjen,9,0,0.0
MD2Korg/mCerebrum-DataKit,50,0,0.0
Routelandia/routelandia-android,1,0,0.0
markormesher/android-fab,21,1,4.76
